Широта;Долгота;Описание;Подпись;"Номер метки"
55.7351154;37.6726649;"Школа № 1468";"Школа № 1468";232
55.6463773;37.6591265;"Школа № 1579";"Школа № 1579";233
55.4691606;37.5409142;"Школа № 2083";"Школа № 2083";234
55.8462953;37.3524399;"Школа № 1747";"Школа № 1747";235
55.6196298;37.7465581;"Школа № 1552";"Школа № 1552";236
55.6007318;37.3602592;"Школа № 2120";"Школа № 2120";237
55.8944868;37.3976036;"Школа № 2005";"Школа № 2005";238
55.8949529;37.5701931;"Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова";"Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова";239
55.7121421;37.4562124;"Школа № 97";"Школа № 97";240
55.7939692;37.8147921;"Школа № 1811 Восточное Измайлово";"Школа № 1811 Восточное Измайлово";241
55.867441;37.6426386;"Школа № 956";"Школа № 956";242
55.7788528;37.5140737;"Школа № 141 имени Героя Советского Союза Рихарда Зорге";"Школа № 141 имени Героя Советского Союза Рихарда Зорге";243
55.6345262;37.7423267;"Школа № 1998 Лукоморье";"Школа № 1998 Лукоморье";244
55.4743196;37.3008098;"Гимназия имени Н.В.Пушкова";"Гимназия имени Н.В.Пушкова";245
55.88261;37.534428;"Школа № 771";"Школа № 771";246
55.7507831;37.4178526;"Школа № 1133";"Школа № 1133";247
55.7614733;37.7868985;"Лицей гуманитарных технологий МПГУ";"Лицей гуманитарных технологий МПГУ";248
55.5703791;37.5846396;"Школа № 1945 Синяя птица";"Школа № 1945 Синяя птица";249
55.9040734;37.3828808;"Школа № 1387";"Школа № 1387";250
55.6332122;37.477582;"Школа № 1101";"Школа № 1101";251
